Name,Position,OverallRating
Aaron McKie,SF,69
Adam Keefe,SF,68
Alan Henderson,SF,69
Allan Houston,SF,70
Alonzo Mourning,SF,70
Amal McCaskill,SF,72
Anfernee Hardaway,SF,71
Anthony Mason,SF,70
Antoine Carr,SF,69
Arvydas Sabonis,SF,70
Bison Dele,SF,69
Bo Outlaw,SF,69
Brent Barry,SF,70
Brian Evans,SF,72
Brian Shaw,SF,68
Bryon Russell,SF,69
Buck Williams,SF,69
Byron Scott,SF,70
Calbert Cheaney,SF,69
Cedric Ceballos,SF,69
Charles Barkley,SF,71
Charles Jones,SF,68
Charles Oakley,SF,69
Charlie Ward,SF,70
Cherokee Parks,SF,70
Chris Carr,SF,67
Chris Childs,SF,71
Chris Dudley,SF,69
Chris Morris,SF,69
Chris Webber,SF,71
Chris Whitney,SF,70
Christian Laettner,SF,70
Clifford Robinson,SF,69
Clyde Drexler,SF,71
Corie Blount,SF,71
Dan Majerle,SF,70
Dan Schayes,SF,69
Danny Manning,SF,71
Darrell Armstrong,SF,71
Darrick Martin,SF,71
Darrin Hancock,SF,67
David Wingate,SF,70
Dean Garrett,SF,69
Dell Curry,SF,68
Dennis Rodman,SF,69
Dennis Scott,SF,68
Derek Fisher,SF,69
Derek Strong,SF,69
Detlef Schrempf,SF,70
Dikembe Mutombo,SF,70
Don Reid,SF,73
Donald Royal,SF,66
Dontonio Wingfield,SF,72
Doug West,SF,69
Ed Pinckney,SF,71
Eddie Johnson,SF,69
Eddie Jones,SF,70
Elden Campbell,SF,69
Eldridge Recasner,SF,69
Eric Piatkowski,SF,68
Eric Snow,SF,70
Gary Payton,SF,71
Gary Trent,SF,70
Gerald Wilkins,SF,68
Gheorghe Muresan,SF,69
Glen Rice,SF,70
Grant Hill,SF,72
Grant Long,SF,69
Greg Foster,SF,69
Greg Graham,SF,69
Greg Ostertag,SF,69
Hakeem Olajuwon,SF,71
Harvey Grant,SF,65
Henry James,SF,67
Herb Williams,SF,67
Hersey Hawkins,SF,70
Hot Rod Williams,SF,69
Howard Eisley,SF,72
Ike Austin,SF,69
Isaiah Rider,SF,70
Ivano Newbill,SF,68
Jamal Mashburn,SF,69
James Robinson,SF,70
Jaren Jackson,SF,66
Jason Caffey,SF,70
Jason Kidd,SF,71
Jeff Hornacek,SF,70
Jermaine O'Neal,SF,67
Jerome Kersey,SF,69
Jerome Williams,SF,73
Jim McIlvaine,SF,68
Joe Dumars,SF,69
John Crotty,SF,70
John Starks,SF,71
John Stockton,SF,73
John Wallace,SF,69
Jon Barry,SF,65
Jud Buechler,SF,68
Juwan Howard,SF,69
Karl Malone,SF,71
Keith Askins,SF,69
Kenny Anderson,SF,71
Kevin Garnett,SF,70
Kevin Johnson,SF,70
Kevin Willis,SF,69
Kobe Bryant,SF,70
Lamond Murray,SF,69
Larry Johnson,SF,70
Larry Stewart,SF,72
Lindsey Hunter,SF,69
Loren Meyer,SF,68
Lorenzen Wright,SF,69
Lorenzo Williams,SF,64
Loy Vaught,SF,70
Luc Longley,SF,70
Malik Rose,SF,71
Malik Sealy,SF,70
Mario Elie,SF,70
Mark Bryant,SF,68
Mark Strickland,SF,70
Matt Bullard,SF,74
Matt Geiger,SF,71
Matt Maloney,SF,69
Michael Curry,SF,67
Michael Jordan,SF,72
Mike Brown,SF,69
Mitchell Butler,SF,69
Mookie Blaylock,SF,71
Muggsy Bogues,SF,71
Nate McMillan,SF,65
Nick Anderson,SF,68
Nick Van Exel,SF,71
Othella Harrington,SF,70
Otis Thorpe,SF,69
P.J. Brown,SF,69
Patrick Ewing,SF,71
Pooh Richardson,SF,69
Priest Lauderdale,SF,67
Randy Brown,SF,68
Randy Livingston,SF,69
Rasheed Wallace,SF,70
Rex Chapman,SF,70
Richard Manning,SF,69
Rick Mahorn,SF,64
Ricky Pierce,SF,68
Robert Horry,SF,69
Robert Parish,SF,66
Rod Strickland,SF,72
Rodney Rogers,SF,69
Ron Harper,SF,70
Rony Seikaly,SF,68
Rumeal Robinson,SF,70
Sam Mitchell,SF,68
Sam Perkins,SF,69
Scott Brooks,SF,68
Scottie Pippen,SF,70
Sean Rooks,SF,69
Sedale Threatt,SF,70
Shandon Anderson,SF,69
Shane Heal,SF,83
Shaquille O'Neal,SF,72
Shawn Kemp,SF,71
Stacey Augmon,SF,68
Stephen Howard,SF,69
Stephon Marbury,SF,71
Steve Kerr,SF,69
Steve Nash,SF,69
Steven Smith,SF,69
Stojko Vrankovic,SF,65
Terry Cummings,SF,69
Terry Dehere,SF,66
Terry Mills,SF,69
Terry Porter,SF,71
Theo Ratliff,SF,71
Tim Hardaway,SF,71
Tim Legler,SF,67
Tom Gugliotta,SF,70
Toni Kukoc,SF,70
Tony Delk,SF,69
Tony Smith,SF,73
Tracy Murray,SF,70
Travis Knight,SF,70
Tyrone Corbin,SF,69
Vlade Divac,SF,70
Voshon Lenard,SF,70
Walter McCarty,SF,71
Wayman Tisdale,SF,68
Wesley Person,SF,70
Willie Anderson,SF,69
Aaron Williams,SF,67
Adam Keefe,SF,68
Alan Henderson,SF,69
Allan Houston,SF,70
Alonzo Mourning,SF,70
Alton Lister,SF,67
Anthony Bowie,SF,68
Anthony Mason,SF,70
Anthony Miller,SF,69
Anthony Peeler,SF,70
Antoine Carr,SF,69
Antonio Davis,SF,69
Antonio McDyess,SF,70
Arvydas Sabonis,SF,70
Avery Johnson,SF,71
B.J. Armstrong,SF,70
Bill Curley,SF,64
Bill Wennington,SF,69
Bob Sura,SF,70
Bobby Phills,SF,69
Brad Lohaus,SF,66
Brent Price,SF,70
Brevin Knight,SF,70
Brian Evans,SF,65
Brian Grant,SF,70
Bryon Russell,SF,69
Buck Williams,SF,70
Carl Herrera,SF,67
Carl Thomas,SF,67
Cedric Henderson,SF,69
Charles Barkley,SF,70
Charles Jones,SF,73
Charles Oakley,SF,69
Charlie Ward,SF,71
Cherokee Parks,SF,64
Chris Childs,SF,70
Chris Crawford,SF,72
Chris Dudley,SF,68
Chris Gatling,SF,69
Chris Mills,SF,69
Chris Morris,SF,69
Chris Mullin,SF,69
Christian Laettner,SF,70
Chuck Person,SF,69
Chucky Brown,SF,69
Clifford Robinson,SF,68
Clyde Drexler,SF,71
Corey Beck,SF,69
Corie Blount,SF,69
Dale Davis,SF,70
Dale Ellis,SF,69
Damon Stoudamire,SF,72
Dan Majerle,SF,69
Danny Ferry,SF,65
David Robinson,SF,71
David Vaughn,SF,65
David Wesley,SF,71
David Wingate,SF,73
DeJuan Wheat,SF,69
Dell Curry,SF,69
Dennis Rodman,SF,69
Dennis Scott,SF,68
Derek Anderson,SF,71
Derek Fisher,SF,70
Derrick McKey,SF,68
Detlef Schrempf,SF,70
Dickey Simpkins,SF,68
Dikembe Mutombo,SF,69
Donald Royal,SF,69
Drew Barry,SF,65
Duane Causwell,SF,66
Eddie Johnson,SF,68
Eddie Jones,SF,70
Elden Campbell,SF,70
Eldridge Recasner,SF,70
Eric Murdock,SF,71
Fred Hoiberg,SF,70
Gary Grant,SF,70
Gary Payton,SF,71
George McCloud,SF,70
Glen Rice,SF,70
Greg Anderson,SF,65
Greg Anthony,SF,69
Greg Foster,SF,68
Greg Ostertag,SF,69
Hakeem Olajuwon,SF,71
Hersey Hawkins,SF,70
Hot Rod Williams,SF,67
Howard Eisley,SF,71
Isaiah Rider,SF,70
J.R. Reid,SF,69
Jacque Vaughn,SF,72
Jalen Rose,SF,70
Jamal Mashburn,SF,69
Jaren Jackson,SF,69
Jason Kidd,SF,70
Jayson Williams,SF,69
Jeff Hornacek,SF,70
Jermaine O'Neal,SF,67
Jerome Kersey,SF,69
Jim McIlvaine,SF,67
John Starks,SF,70
John Stockton,SF,73
Jon Barry,SF,65
Jud Buechler,SF,69
Karl Malone,SF,72
Keith Askins,SF,67
